FIPSCode,LocationType,Location,Race_Ethnicity,TimeFrame,DataFormat,Data
6001,County,Alameda,White,2005,Percent,26.7
6001,County,Alameda,White,2007,Percent,25.3
6001,County,Alameda,White,2009,Percent,23.7
6001,County,Alameda,White,2011,Percent,23.6
6001,County,Alameda,White,2013,Percent,24.3
6003,County,Alpine,White,2005,Percent,55.0
6003,County,Alpine,White,2007,Percent,56.7
6003,County,Alpine,White,2009,Percent,57.1
6003,County,Alpine,White,2011,Percent,59.0
6003,County,Alpine,White,2013,Percent,55.2
6005,County,Amador,White,2005,Percent,74.9
6005,County,Amador,White,2007,Percent,73.6
6005,County,Amador,White,2009,Percent,72.7
6005,County,Amador,White,2011,Percent,73.0
6005,County,Amador,White,2013,Percent,72.6
6007,County,Butte,White,2005,Percent,66.0
6007,County,Butte,White,2007,Percent,64.7
6007,County,Butte,White,2009,Percent,61.5
6007,County,Butte,White,2011,Percent,61.6
6007,County,Butte,White,2013,Percent,61.8
6009,County,Calaveras,White,2005,Percent,77.5
6009,County,Calaveras,White,2007,Percent,76.3
6009,County,Calaveras,White,2009,Percent,75.3
6009,County,Calaveras,White,2011,Percent,74.4
6009,County,Calaveras,White,2013,Percent,73.8
6011,County,Colusa,White,2005,Percent,30.1
6011,County,Colusa,White,2007,Percent,28.1
6011,County,Colusa,White,2009,Percent,26.5
6011,County,Colusa,White,2011,Percent,24.9
6011,County,Colusa,White,2013,Percent,24.9
6013,County,Contra Costa,White,2005,Percent,42.2
6013,County,Contra Costa,White,2007,Percent,40.4
6013,County,Contra Costa,White,2009,Percent,38.9
6013,County,Contra Costa,White,2011,Percent,35.8
6013,County,Contra Costa,White,2013,Percent,35.7
6015,County,Del Norte,White,2005,Percent,60.0
6015,County,Del Norte,White,2007,Percent,58.4
6015,County,Del Norte,White,2009,Percent,57.3
6015,County,Del Norte,White,2011,Percent,54.9
6015,County,Del Norte,White,2013,Percent,54.8
6017,County,El Dorado,White,2005,Percent,74.8
6017,County,El Dorado,White,2007,Percent,73.5
6017,County,El Dorado,White,2009,Percent,72.1
6017,County,El Dorado,White,2011,Percent,69.6
6017,County,El Dorado,White,2013,Percent,69.3
6019,County,Fresno,White,2005,Percent,23.9
6019,County,Fresno,White,2007,Percent,22.7
6019,County,Fresno,White,2009,Percent,21.2
6019,County,Fresno,White,2011,Percent,20.5
6019,County,Fresno,White,2013,Percent,20.7
6021,County,Glenn,White,2005,Percent,45.6
6021,County,Glenn,White,2007,Percent,45.3
6021,County,Glenn,White,2009,Percent,44.7
6021,County,Glenn,White,2011,Percent,40.9
6021,County,Glenn,White,2013,Percent,41.2
6023,County,Humboldt,White,2005,Percent,68.0
6023,County,Humboldt,White,2007,Percent,66.3
6023,County,Humboldt,White,2009,Percent,64.3
6023,County,Humboldt,White,2011,Percent,63.8
6023,County,Humboldt,White,2013,Percent,64.3
6025,County,Imperial,White,2005,Percent,9.8
6025,County,Imperial,White,2007,Percent,9.1
6025,County,Imperial,White,2009,Percent,8.6
6025,County,Imperial,White,2011,Percent,8.0
6025,County,Imperial,White,2013,Percent,8.5
6027,County,Inyo,White,2005,Percent,52.6
6027,County,Inyo,White,2007,Percent,50.2
6027,County,Inyo,White,2009,Percent,48.2
6027,County,Inyo,White,2011,Percent,45.6
6027,County,Inyo,White,2013,Percent,45.7
6029,County,Kern,White,2005,Percent,31.7
6029,County,Kern,White,2007,Percent,29.9
6029,County,Kern,White,2009,Percent,28.3
6029,County,Kern,White,2011,Percent,26.9
6029,County,Kern,White,2013,Percent,27.1
6031,County,Kings,White,2005,Percent,29.9
6031,County,Kings,White,2007,Percent,28.4
6031,County,Kings,White,2009,Percent,26.8
6031,County,Kings,White,2011,Percent,26.0
6031,County,Kings,White,2013,Percent,26.2
6033,County,Lake,White,2005,Percent,65.0
6033,County,Lake,White,2007,Percent,63.2
6033,County,Lake,White,2009,Percent,60.8
6033,County,Lake,White,2011,Percent,58.3
6033,County,Lake,White,2013,Percent,58.2
6035,County,Lassen,White,2005,Percent,72.8
6035,County,Lassen,White,2007,Percent,72.5
6035,County,Lassen,White,2009,Percent,73.2
6035,County,Lassen,White,2011,Percent,70.0
6035,County,Lassen,White,2013,Percent,70.3
6037,County,Los Angeles,White,2005,Percent,18.8
6037,County,Los Angeles,White,2007,Percent,18.0
6037,County,Los Angeles,White,2009,Percent,17.1
6037,County,Los Angeles,White,2011,Percent,17.8
6037,County,Los Angeles,White,2013,Percent,18.0
6039,County,Madera,White,2005,Percent,28.2
6039,County,Madera,White,2007,Percent,26.7
6039,County,Madera,White,2009,Percent,25.4
6039,County,Madera,White,2011,Percent,23.3
6039,County,Madera,White,2013,Percent,23.1
6041,County,Marin,White,2005,Percent,66.8
6041,County,Marin,White,2007,Percent,66.0
6041,County,Marin,White,2009,Percent,66.0
6041,County,Marin,White,2011,Percent,62.9
6041,County,Marin,White,2013,Percent,62.3
6043,County,Mariposa,White,2005,Percent,77.8
6043,County,Mariposa,White,2007,Percent,76.8
6043,County,Mariposa,White,2009,Percent,75.1
6043,County,Mariposa,White,2011,Percent,74.0
6043,County,Mariposa,White,2013,Percent,73.0
6045,County,Mendocino,White,2005,Percent,55.3
6045,County,Mendocino,White,2007,Percent,53.1
6045,County,Mendocino,White,2009,Percent,51.4
6045,County,Mendocino,White,2011,Percent,49.4
6045,County,Mendocino,White,2013,Percent,49.5
6047,County,Merced,White,2005,Percent,24.8
6047,County,Merced,White,2007,Percent,23.2
6047,County,Merced,White,2009,Percent,21.4
6047,County,Merced,White,2011,Percent,20.9
6047,County,Merced,White,2013,Percent,21.2
6049,County,Modoc,White,2005,Percent,69.0
6049,County,Modoc,White,2007,Percent,68.4
6049,County,Modoc,White,2009,Percent,67.6
